class	MIXS ID	Value syntax	Frequency
food-animal and animal feed	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
food-farm environment	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
food-human foods	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
migs_ba	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
migs_eu	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
migs_org	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
migs_pl	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
migs_vi	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
mimag	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
mimarks_c	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
mimarks_s	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
mims	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
misag	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
miuvig	MIXS:0000002	{termLabel} [{termID}]|{text}	0.875
agriculture	MIXS:0000002	{text}	0.125
food-food production facility	MIXS:0000002	{text}	0.125
agriculture	MIXS:0000003	{PMID|DOI|URL}	0.08333333333333333
migs_ba	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
migs_eu	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
migs_org	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
migs_pl	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
migs_vi	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
mimag	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
mimarks_c	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
mimarks_s	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
mims	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
misag	MIXS:0000003	{PMID}|{DOI}|{URL}	0.9166666666666666
