class	MIXS ID	Expected value	Frequency
food-animal and animal feed	MIXS:0000002	device name	0.875
food-farm environment	MIXS:0000002	device name	0.875
food-human foods	MIXS:0000002	device name	0.875
migs_ba	MIXS:0000002	device name	0.875
migs_eu	MIXS:0000002	device name	0.875
migs_org	MIXS:0000002	device name	0.875
migs_pl	MIXS:0000002	device name	0.875
migs_vi	MIXS:0000002	device name	0.875
mimag	MIXS:0000002	device name	0.875
mimarks_c	MIXS:0000002	device name	0.875
mimarks_s	MIXS:0000002	device name	0.875
mims	MIXS:0000002	device name	0.875
misag	MIXS:0000002	device name	0.875
miuvig	MIXS:0000002	device name	0.875
agriculture	MIXS:0000002	type name	0.125
food-food production facility	MIXS:0000002	type name	0.125
food-animal and animal feed	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
food-farm environment	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
food-food production facility	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
food-human foods	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
migs_ba	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
migs_eu	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
migs_org	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
migs_pl	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
migs_vi	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
mimag	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
mimarks_c	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
mimarks_s	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
mims	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
misag	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
miuvig	MIXS:0000009	decimal degrees,  limit to 8 decimal points	0.9375
symbiont-associated	MIXS:0000009	decimal degrees, limit to 8 decimal points	0.0625
migs_ba	MIXS:0000016	text	0.9166666666666666
migs_eu	MIXS:0000016	text	0.9166666666666666
migs_org	MIXS:0000016	text	0.9166666666666666
migs_pl	MIXS:0000016	text	0.9166666666666666
migs_vi	MIXS:0000016	text	0.9166666666666666
mimag	MIXS:0000016	text	0.9166666666666666
mimarks_c	MIXS:0000016	text	0.9166666666666666
mimarks_s	MIXS:0000016	text	0.9166666666666666
mims	MIXS:0000016	text	0.9166666666666666
misag	MIXS:0000016	text	0.9166666666666666
