class	MIXS ID	Preferred unit	Frequency
food-animal and animal feed	MIXS:0000001	liter, gram, cm^2	0.25
food-farm environment	MIXS:0000001	liter, gram, cm^2	0.25
food-food production facility	MIXS:0000001	liter, gram, cm^2	0.25
food-human foods	MIXS:0000001	liter, gram, cm^2	0.25
agriculture	MIXS:0000001	millliter, gram, milligram	0.0625
migs_ba	MIXS:0000001	millliter, gram, milligram, liter	0.6875
migs_eu	MIXS:0000001	millliter, gram, milligram, liter	0.6875
migs_org	MIXS:0000001	millliter, gram, milligram, liter	0.6875
migs_pl	MIXS:0000001	millliter, gram, milligram, liter	0.6875
migs_vi	MIXS:0000001	millliter, gram, milligram, liter	0.6875
mimag	MIXS:0000001	millliter, gram, milligram, liter	0.6875
mimarks_c	MIXS:0000001	millliter, gram, milligram, liter	0.6875
mimarks_s	MIXS:0000001	millliter, gram, milligram, liter	0.6875
mims	MIXS:0000001	millliter, gram, milligram, liter	0.6875
misag	MIXS:0000001	millliter, gram, milligram, liter	0.6875
miuvig	MIXS:0000001	millliter, gram, milligram, liter	0.6875
agriculture	MIXS:0000018	cm	0.045454545454545456
food-farm environment	MIXS:0000018	meter	0.45454545454545453
host-associated	MIXS:0000018	meter	0.45454545454545453
microbial mat/biofilm	MIXS:0000018	meter	0.45454545454545453
miscellaneous natural or artificial environment	MIXS:0000018	meter	0.45454545454545453
plant-associated	MIXS:0000018	meter	0.45454545454545453
sediment	MIXS:0000018	meter	0.45454545454545453
soil	MIXS:0000018	meter	0.45454545454545453
symbiont-associated	MIXS:0000018	meter	0.45454545454545453
wastewater/sludge	MIXS:0000018	meter	0.45454545454545453
water	MIXS:0000018	meter	0.45454545454545453
migs_ba	MIXS:0000018		0.5
migs_eu	MIXS:0000018		0.5
migs_org	MIXS:0000018		0.5
migs_pl	MIXS:0000018		0.5
migs_vi	MIXS:0000018		0.5
mimag	MIXS:0000018		0.5
mimarks_c	MIXS:0000018		0.5
mimarks_s	MIXS:0000018		0.5
mims	MIXS:0000018		0.5
misag	MIXS:0000018		0.5
miuvig	MIXS:0000018		0.5
air	MIXS:0000093	meter	0.45454545454545453
host-associated	MIXS:0000093	meter	0.45454545454545453
hydrocarbon resources-cores	MIXS:0000093	meter	0.45454545454545453
microbial mat/biofilm	MIXS:0000093	meter	0.45454545454545453
miscellaneous natural or artificial environment	MIXS:0000093	meter	0.45454545454545453
plant-associated	MIXS:0000093	meter	0.45454545454545453
sediment	MIXS:0000093	meter	0.45454545454545453
soil	MIXS:0000093	meter	0.45454545454545453
symbiont-associated	MIXS:0000093	meter	0.45454545454545453
water	MIXS:0000093	meter	0.45454545454545453
agriculture	MIXS:0000093		0.5454545454545454
migs_ba	MIXS:0000093		0.5454545454545454
migs_eu	MIXS:0000093		0.5454545454545454
migs_org	MIXS:0000093		0.5454545454545454
migs_pl	MIXS:0000093		0.5454545454545454
migs_vi	MIXS:0000093		0.5454545454545454
mimag	MIXS:0000093		0.5454545454545454
mimarks_c	MIXS:0000093		0.5454545454545454
mimarks_s	MIXS:0000093		0.5454545454545454
mims	MIXS:0000093		0.5454545454545454
misag	MIXS:0000093		0.5454545454545454
miuvig	MIXS:0000093		0.5454545454545454
air	MIXS:0000094	meter	0.26666666666666666
host-associated	MIXS:0000094	meter	0.26666666666666666
miscellaneous natural or artificial environment	MIXS:0000094	meter	0.26666666666666666
symbiont-associated	MIXS:0000094	meter	0.26666666666666666
migs_ba	MIXS:0000094		0.7333333333333333
migs_eu	MIXS:0000094		0.7333333333333333
migs_org	MIXS:0000094		0.7333333333333333
migs_pl	MIXS:0000094		0.7333333333333333
migs_vi	MIXS:0000094		0.7333333333333333
mimag	MIXS:0000094		0.7333333333333333
mimarks_c	MIXS:0000094		0.7333333333333333
mimarks_s	MIXS:0000094		0.7333333333333333
mims	MIXS:0000094		0.7333333333333333
misag	MIXS:0000094		0.7333333333333333
miuvig	MIXS:0000094		0.7333333333333333
air	MIXS:0000100	gram per cubic meter	0.3333333333333333
agriculture	MIXS:0000100	percentage	0.6666666666666666
food-farm environment	MIXS:0000100	percentage	0.6666666666666666
food-animal and animal feed	MIXS:0000103	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-farm environment	MIXS:0000103	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-food production facility	MIXS:0000103	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
food-human foods	MIXS:0000103	colony forming units per milliliter; colony forming units per gram of dry weight	0.18181818181818182
agriculture	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
air	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
built environment	MIXS:0000103	number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter	0.7727272727272727
