class	MIXS ID	Item	Frequency
food-animal and animal feed	MIXS:0000002	sample collection device	0.9375
food-farm environment	MIXS:0000002	sample collection device	0.9375
food-food production facility	MIXS:0000002	sample collection device	0.9375
food-human foods	MIXS:0000002	sample collection device	0.9375
migs_ba	MIXS:0000002	sample collection device	0.9375
migs_eu	MIXS:0000002	sample collection device	0.9375
migs_org	MIXS:0000002	sample collection device	0.9375
migs_pl	MIXS:0000002	sample collection device	0.9375
migs_vi	MIXS:0000002	sample collection device	0.9375
mimag	MIXS:0000002	sample collection device	0.9375
mimarks_c	MIXS:0000002	sample collection device	0.9375
mimarks_s	MIXS:0000002	sample collection device	0.9375
mims	MIXS:0000002	sample collection device	0.9375
misag	MIXS:0000002	sample collection device	0.9375
miuvig	MIXS:0000002	sample collection device	0.9375
agriculture	MIXS:0000002	sample collection device or method	0.0625
food-farm environment	MIXS:0000018	depth	0.9545454545454546
host-associated	MIXS:0000018	depth	0.9545454545454546
microbial mat/biofilm	MIXS:0000018	depth	0.9545454545454546
migs_ba	MIXS:0000018	depth	0.9545454545454546
migs_eu	MIXS:0000018	depth	0.9545454545454546
migs_org	MIXS:0000018	depth	0.9545454545454546
migs_pl	MIXS:0000018	depth	0.9545454545454546
migs_vi	MIXS:0000018	depth	0.9545454545454546
mimag	MIXS:0000018	depth	0.9545454545454546
mimarks_c	MIXS:0000018	depth	0.9545454545454546
mimarks_s	MIXS:0000018	depth	0.9545454545454546
mims	MIXS:0000018	depth	0.9545454545454546
misag	MIXS:0000018	depth	0.9545454545454546
miscellaneous natural or artificial environment	MIXS:0000018	depth	0.9545454545454546
miuvig	MIXS:0000018	depth	0.9545454545454546
plant-associated	MIXS:0000018	depth	0.9545454545454546
sediment	MIXS:0000018	depth	0.9545454545454546
soil	MIXS:0000018	depth	0.9545454545454546
symbiont-associated	MIXS:0000018	depth	0.9545454545454546
wastewater/sludge	MIXS:0000018	depth	0.9545454545454546
water	MIXS:0000018	depth	0.9545454545454546
agriculture	MIXS:0000018	soil depth	0.045454545454545456
agriculture	MIXS:0000052	chimera check	0.08333333333333333
migs_ba	MIXS:0000052	chimera check software	0.9166666666666666
migs_eu	MIXS:0000052	chimera check software	0.9166666666666666
migs_org	MIXS:0000052	chimera check software	0.9166666666666666
migs_pl	MIXS:0000052	chimera check software	0.9166666666666666
migs_vi	MIXS:0000052	chimera check software	0.9166666666666666
mimag	MIXS:0000052	chimera check software	0.9166666666666666
mimarks_c	MIXS:0000052	chimera check software	0.9166666666666666
mimarks_s	MIXS:0000052	chimera check software	0.9166666666666666
mims	MIXS:0000052	chimera check software	0.9166666666666666
misag	MIXS:0000052	chimera check software	0.9166666666666666
miuvig	MIXS:0000052	chimera check software	0.9166666666666666
migs_ba	MIXS:0000056	assembly quality	0.9166666666666666
migs_eu	MIXS:0000056	assembly quality	0.9166666666666666
migs_org	MIXS:0000056	assembly quality	0.9166666666666666
migs_pl	MIXS:0000056	assembly quality	0.9166666666666666
migs_vi	MIXS:0000056	assembly quality	0.9166666666666666
mimag	MIXS:0000056	assembly quality	0.9166666666666666
mimarks_c	MIXS:0000056	assembly quality	0.9166666666666666
mimarks_s	MIXS:0000056	assembly quality	0.9166666666666666
mims	MIXS:0000056	assembly quality	0.9166666666666666
misag	MIXS:0000056	assembly quality	0.9166666666666666
miuvig	MIXS:0000056	assembly quality	0.9166666666666666
agriculture	MIXS:0000056	assembly software	0.08333333333333333
agriculture	MIXS:0000058	assembly quality	0.08333333333333333
migs_ba	MIXS:0000058	assembly software	0.9166666666666666
migs_eu	MIXS:0000058	assembly software	0.9166666666666666
migs_org	MIXS:0000058	assembly software	0.9166666666666666
migs_pl	MIXS:0000058	assembly software	0.9166666666666666
migs_vi	MIXS:0000058	assembly software	0.9166666666666666
mimag	MIXS:0000058	assembly software	0.9166666666666666
mimarks_c	MIXS:0000058	assembly software	0.9166666666666666
mimarks_s	MIXS:0000058	assembly software	0.9166666666666666
mims	MIXS:0000058	assembly software	0.9166666666666666
misag	MIXS:0000058	assembly software	0.9166666666666666
miuvig	MIXS:0000058	assembly software	0.9166666666666666
agriculture	MIXS:0000112	mean seasonal solar irradiance	0.6666666666666666
food-farm environment	MIXS:0000112	mean seasonal solar irradiance	0.6666666666666666
air	MIXS:0000112	solar irradiance	0.3333333333333333
agriculture	MIXS:0000321	horizon method	0.5
soil	MIXS:0000321	soil horizon method	0.5
soil	MIXS:0000322	composite design/sieving	0.5
agriculture	MIXS:0000322	composite design/sieving (if any)	0.5
soil	MIXS:0000327	storage conditions	0.5
agriculture	MIXS:0000327	storage conditions (fresh/frozen/other)	0.5
soil	MIXS:0000335	soil texture measurement	0.5
agriculture	MIXS:0000335	texture	0.5
food-farm environment	MIXS:0000336	soil texture method	0.6666666666666666
soil	MIXS:0000336	soil texture method	0.6666666666666666
agriculture	MIXS:0000336	texture method	0.3333333333333333
food-farm environment	MIXS:0000338	total nitrogen content method	0.6666666666666666
soil	MIXS:0000338	total nitrogen content method	0.6666666666666666
agriculture	MIXS:0000338	total nitrogen method	0.3333333333333333
agriculture	MIXS:0000343	extreme_unusual_conditions	0.5
soil	MIXS:0000343	extreme_unusual_properties/heavy metals method	0.5
agriculture	MIXS:0000530	total nitrogen	0.2
food-farm environment	MIXS:0000530	total nitrogen content	0.8
microbial mat/biofilm	MIXS:0000530	total nitrogen content	0.8
sediment	MIXS:0000530	total nitrogen content	0.8
soil	MIXS:0000530	total nitrogen content	0.8
food-farm environment	MIXS:0000643	mean seasonal air temperature	0.3333333333333333
agriculture	MIXS:0000643	mean seasonal temperature	0.6666666666666666
soil	MIXS:0000643	mean seasonal temperature	0.6666666666666666
wastewater/sludge	MIXS:0000689	total phosphate	0.5
agriculture	MIXS:0000689	total phosphorous	0.5
food-food production facility	MIXS:0000998	sample type	0.75
hydrocarbon resources-cores	MIXS:0000998	sample type	0.75
hydrocarbon resources-fluids/swabs	MIXS:0000998	sample type	0.75
food-farm environment	MIXS:0000998	sample type (host or environmental context)	0.25
agriculture	MIXS:0001082	horizon	0.5
soil	MIXS:0001082	soil horizon	0.5
symbiont-associated	MIXS:0001107	sample name	0.030303030303030304
air	MIXS:0001107	sample name 	0.9696969696969697
built environment	MIXS:0001107	sample name 	0.9696969696969697
food-animal and animal feed	MIXS:0001107	sample name 	0.9696969696969697
food-farm environment	MIXS:0001107	sample name 	0.9696969696969697
food-food production facility	MIXS:0001107	sample name 	0.9696969696969697
food-human foods	MIXS:0001107	sample name 	0.9696969696969697
host-associated	MIXS:0001107	sample name 	0.9696969696969697
human-associated	MIXS:0001107	sample name 	0.9696969696969697
human-gut	MIXS:0001107	sample name 	0.9696969696969697
human-oral	MIXS:0001107	sample name 	0.9696969696969697
human-skin	MIXS:0001107	sample name 	0.9696969696969697
human-vaginal	MIXS:0001107	sample name 	0.9696969696969697
hydrocarbon resources-cores	MIXS:0001107	sample name 	0.9696969696969697
hydrocarbon resources-fluids/swabs	MIXS:0001107	sample name 	0.9696969696969697
microbial mat/biofilm	MIXS:0001107	sample name 	0.9696969696969697
migs_ba	MIXS:0001107	sample name 	0.9696969696969697
migs_eu	MIXS:0001107	sample name 	0.9696969696969697
migs_org	MIXS:0001107	sample name 	0.9696969696969697
migs_pl	MIXS:0001107	sample name 	0.9696969696969697
migs_vi	MIXS:0001107	sample name 	0.9696969696969697
mimag	MIXS:0001107	sample name 	0.9696969696969697
mimarks_c	MIXS:0001107	sample name 	0.9696969696969697
mimarks_s	MIXS:0001107	sample name 	0.9696969696969697
mims	MIXS:0001107	sample name 	0.9696969696969697
